id_ubicacion;comuna;tipo_de_calle;direccion
100;;CALLE;BOLA?OS 211
101;;CALLE;ACHA, MARIANO, GRAL. 4006
102;Comuna 9;AV. GRAL. PAZ;PAZ, GRAL. AV. y PALMAR
103;Comuna 11;AVENIDA;SAN MARTIN AV. 5638
104;Comuna 4;CALLE;CARRILLO, RAMON, DR. y FINOCHIETTO ENRIQUE DR.
105;;AVENIDA;JUSTO, JUAN B. AV. y ESTADO PLURINACIONAL DE BOLIVIA
106;Comuna 15;AVENIDA;AVILES, VIRREY y FOREST AV.
107;Comuna 15;AVENIDA;DORREGO AV. y GIRARDOT
108;;AVENIDA;SAN JUAN AV. 1941
109;Comuna 13;AVENIDA;FIGUEROA ALCORTA, PRES. AV. y UDAONDO, GUILLERMO AV.
110;Comuna 11;AVENIDA;JUSTO, JUAN B. AV. y ESTADO PLURINACIONAL DE BOLIVIA
111;Comuna 15;AVENIDA;ELCANO AV. y TRIUNVIRATO AV.
112;Comuna 11;AV. GRAL. PAZ;SAN MARTIN AV. y PAZ, GRAL. AV.
113;Comuna 12;AV. GRAL. PAZ;BALBIN, RICARDO, DR. AV. y PAZ, GRAL. AV.
114;Comuna 13;AUTOPISTA;CANTILO, INT. y UDAONDO, GUILLERMO AV.
115;Comuna 15;AVENIDA;SAN MARTIN AV. y ALVAREZ, DONATO, TTE. GRAL. AV.
116;Comuna 3;CALLE;MEXICO y PICHINCHA
117;;AVENIDA;GAONA AV. 4937
118;Comuna 10;AVENIDA;DONIZETTI y RIVADAVIA AV.
119;Comuna 13;AVENIDA;DEL LIBERTADOR AV. 6326
120;Comuna 1;AVENIDA;GARCIA, MARTIN AV. y IRALA
121;Comuna 15;CALLE;BATALLA DEL PARI y ROJAS
122;Comuna 12;CALLE;SUPERI y MANZANARES
123;Comuna 5;AVENIDA;CHICLANA AV. 3444
124;Comuna 14;AUTOPISTA;
125;Comuna 2;AVENIDA;DIAZ, CNEL. AV. 1705
126;;AVENIDA;SANTA FE AV. y ESMERALDA
127;;CALLE;SANCHEZ DE LORIA y MEXICO
128;;AVENIDA;JUSTO, JUAN B. AV. y FRAGATA PRES. SARMIENTO
129;;CALLE;ARTIGAS, JOSE GERVASIO, GRAL. 4851
130;;AVENIDA;SANTA FE AV. y AUSTRIA
131;Comuna 4;CALLE;SAN ANTONIO y SANTO DOMINGO
132;Comuna 12;AV. GRAL. PAZ;PAZ, GRAL. AV. y SUPERI
133;;AV. GRAL. PAZ;PAZ, GRAL. AV. y DE LOS CONSTITUYENTES AV.
134;Comuna 15;AVENIDA;CORDOBA AV. y SCALABRINI ORTIZ, RAUL AV.
135;;AV. GRAL. PAZ;PAZ, GRAL. AV. y ZAPIOLA
136;Comuna 1;AVENIDA;ENTRE RIOS AV. 1260
137;Comuna 7;AVENIDA;BOYACA AV. y YERBAL
138;Comuna 14;AVENIDA;CORDOBA AV. y SERRANO
139;Comuna 9;AV. GRAL. PAZ;PAZ, GRAL. AV. y JACQUES, AMADEO
140;Comuna 15;AVENIDA;SAN MARTIN AV. y PUNTA ARENAS
141;;AVENIDA;CORDOBA AV. 5870
142;Comuna 1;AVENIDA;ANTARTIDA ARGENTINA AV. 1325
143;Comuna 15;CALLE;PUNTA ARENAS y PAZ SOLDAN
144;Comuna 13;AVENIDA;JURAMENTO AV. y CABILDO AV.
145;Comuna 7;AVENIDA;CARABOBO AV. y BONIFACIO, JOSE
146;Comuna 2;CALLE;LAPRIDA y CABRERA, JOSE A.
147;Comuna 15;AVENIDA;TRIUNVIRATO AV. y GANDARA
148;Comuna 5;CALLE;MITRE, BARTOLOME y SANCHEZ DE BUSTAMANTE
149;;AV. GRAL. PAZ;PAZ, GRAL. AV. y VALLEJOS
150;Comuna 1;AVENIDA;BALCARCE y BRASIL AV.
151;Comuna 15;AVENIDA;BEIRO, FRANCISCO AV. 2827
152;;AVENIDA;BROWN, ALTE. AV. 240
153;Comuna 1;AVENIDA;INDEPENDENCIA AV. y SALTA
154;;AVENIDA;FERNANDEZ DE LA CRUZ, F., GRAL. AV. 1650
155;Comuna 10;CALLE;CALDERON DE LA BARCA, PEDRO 1851
156;;AUTOPISTA;AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y AUTOPISTA 25 DE MAYO
157;Comuna 2;CALLE;CHARCAS y ECUADOR
158;;AV. GRAL. PAZ;PAZ, GRAL. AV. y VARELA, JOSE PEDRO
159;Comuna 1;CALLE;CONSTITUCION y SAN JOSE
160;Comuna 2;AVENIDA;SANTA FE AV. y AZCUENAGA
161;Comuna 13;AVENIDA;CABILDO AV. 1717
162;Comuna 8;AVENIDA;FERNANDEZ DE LA CRUZ, F., GRAL. AV. y PAZ, GRAL. AV.
163;Comuna 7;AVENIDA;NAZCA AV. y PAEZ
164;;CALLE;SAN BLAS y CUENCA
165;Comuna 13;CALLE;AMENABAR y BLANCO ENCALADA
166;;AVENIDA;AUTOPISTA PERITO MORENO y RIVADAVIA AV.
167;Comuna 14;AVENIDA;SCALABRINI ORTIZ, RAUL AV. y SANTA FE AV.
168;Comuna 5;AVENIDA;CORRIENTES AV. y MEDRANO AV.
169;;AVENIDA;CRAMER AV. 3161
170;;CALLE;FITZ ROY y GORRITI
171;Comuna 14;AVENIDA;SCALABRINI ORTIZ, RAUL AV. y MANSILLA, LUCIO NORBERTO, GENERAL
172;;CALLE;ECHEVERRIA 3241
173;Comuna 13;AVENIDA;SAENZ VALIENTE, JUAN PABLO y FIGUEROA ALCORTA, PRES. AV.
174;Comuna 10;AVENIDA;JUSTO, JUAN B. AV. y BARRAGAN
175;;AVENIDA;INDEPENDENCIA AV. y ENTRE RIOS AV.
176;Comuna 4;AUTOPISTA;
177;Comuna 11;AVENIDA;JUSTO, JUAN B. AV. y OROÃ‘O, NICASIO
178;;CALLE;ANCHORENA, TOMAS MANUEL DE, DR. 1400
179;;AVENIDA;REPUBLICA ARABE SIRIA y DEL LIBERTADOR AV.
180;Comuna 10;AUTOPISTA;
181;;AVENIDA;EREZCANO AV. y FERRE
182;;AVENIDA;CORDOBA AV. y MEDRANO AV.
183;Comuna 7;CALLE;ALVAREZ, DONATO, TTE. GRAL. y YERBAL
184;;CALLE;AIZPURUA y LE BRETON, TOMAS A.
185;;AVENIDA;SASTRE, MARCOS y NAZCA AV.
186;;CALLE;LOS PATOS y ATUEL
187;Comuna 1;AVENIDA;CORDOBA AV. y MADERO, EDUARDO AV.
188;;AVENIDA;OLAZABAL AV. 5061
189;;AVENIDA;9 DE JULIO AV. y MEXICO
190;;CALLE;CHIVILCOY y LASCANO
191;Comuna 11;AVENIDA;CAMARONES y ALVAREZ, DONATO, TTE. GRAL. AV.
192;Comuna 1;AUTOPISTA;AUTOPISTA 25 DE MAYO y HUERGO, ING. AV.
193;Comuna 7;AVENIDA;MORENO, PERITO AV. 3050
194;Comuna 1;CALLE;SUIPACHA 665
195;Comuna 6;CALLE;RIGLOS y FORMOSA
196;;AVENIDA;SAN MARTIN AV. y NAZCA AV.
197;;CALLE;BOYACA y MENDEZ DE ANDES
198;Comuna 3;AVENIDA;LA RIOJA e INDEPENDENCIA AV.
199;;CALLE;YRIGOYEN, HIPOLITO 3026
200;;AVENIDA;CERVI?O AV. y BULLRICH, INT. AV.
201;Comuna 13;AVENIDA;UDAONDO, GUILLERMO AV. y FIGUEROA ALCORTA, PRES. AV.
202;Comuna 10;AVENIDA;SANTO TOME y SEGUROLA AV.
203;Comuna 7;AVENIDA;SAN PEDRITO AV. y DIRECTORIO AV.
204;Comuna 7;CALLE;PUAN y SANTANDER
205;;AVENIDA;NAZCA AV. 768
206;Comuna 9;AVENIDA;ALBERDI, JUAN BAUTISTA AV. y ANDALGALA
207;;AVENIDA;CABILDO AV. y MENDOZA
208;;AVENIDA;RIVADAVIA AV. y PIEDRAS
209;;AVENIDA;IRIARTE, GRAL. AV. y MONTESQUIEU
210;Comuna 1;CALLE;LIMA y CONSTITUCION
211;;AV. GRAL. PAZ;PAZ, GRAL. AV. y DONADO
212;;AVENIDA;ALBERDI, JUAN BAUTISTA AV. 255
213;;CALLE;IRALA y CALIFORNIA
214;;AVENIDA;JURAMENTO y ALVAREZ THOMAS AV.
215;;AVENIDA;DIRECTORIO AV. 700
216;;CALLE;BAHIA BLANCA y SANTO TOME
217;;AVENIDA;CABILDO AV. y JURAMENTO AV.
218;;AVENIDA;DON PEDRO DE MENDOZA AV. 1501
219;Comuna 5;AVENIDA;BOEDO AV. 650
220;;AVENIDA;BALBIN, RICARDO, DR. AV. y DONADO
221;Comuna 14;AVENIDA;DEL LIBERTADOR AV. y REPUBLICA DE LA INDIA
222;Comuna 13;AUTOPISTA;
223;Comuna 13;AV. GRAL. PAZ;PAZ, GRAL. AV. y CABILDO AV.
224;;AVENIDA;JUSTO, JUAN B. AV. y SAN MARTIN AV.
225;Comuna 4;AVENIDA;CASEROS AV. 1700
226;;AVENIDA;DIRECTORIO AV. y MOZART
227;Comuna 6;AVENIDA;AVELLANEDA AV. 1548
228;;AVENIDA;FRAGATA LA ARGENTINA y CASTRO, EMILIO AV.
229;Comuna 14;AVENIDA;SALGUERO, JERONIMO y HONDURAS AV.
230;Comuna 13;CALLE;CIUDAD DE LA PAZ y MENDOZA
231;;AVENIDA;LANTERI JULIETA y CALABRIA AV.
232;Comuna 4;CALLE;FILIBERTO, JUAN DE DIOS y OLAVARRIA
233;;CALLE;SUPERI y BLANCO ENCALADA
234;;CALLE;ZAVALETA 143
235;;AVENIDA;OLAZABAL AV. y BUCARELLI
236;Comuna 8;AVENIDA;ASTURIAS AV. y CASTAÃ‘ARES AV.
237;Comuna 1;AVENIDA;GUEVARA, TRINIDAD y MADERO, EDUARDO AV.
238;Comuna 15;CALLE;GANDARA 2976
239;;CALLE;VEDIA, AGUSTIN DE y SOMELLERA
240;;AVENIDA;SAN MARTIN AV. y TERRADA
241;Comuna 7;AVENIDA;BOYACA AV. 305
242;Comuna 13;CALLE;ARTILLEROS y LA PAMPA
243;;AVENIDA;LAS HERAS GENERAL AV. y GALILEO
244;Comuna 10;AUTOPISTA;AUTOPISTA PERITO MORENO e IRIGOYEN
245;;AVENIDA;CABILDO AV. y RUIZ HUIDOBRO
246;;AVENIDA;LOPE DE VEGA AV. 690
247;Comuna 1;CALLE;15 DE NOVIEMBRE DE 1889 y SANTIAGO DEL ESTERO
248;Comuna 10;AVENIDA;ACOSTA, MARIANO AV. y FALCON, RAMON L.,CNEL.
249;Comuna 13;CALLE;11 DE SEPTIEMBRE DE 1888 y MENDOZA
250;;CALLE;ESTOMBA 1624
251;;AVENIDA;JUJUY AV. y ALSINA, ADOLFO
252;;CALLE;HIDALGO y NEUQUEN
253;Comuna 13;AVENIDA;PINO, VIRREY DEL y CAMPOS, LUIS M. AV.
254;;AVENIDA;GAONA AV. y ALVAREZ, DONATO, TTE. GRAL.
255;Comuna 15;AVENIDA;FOREST AV. y MAURE
256;Comuna 7;AVENIDA;BOYACA AV. y AVELLANEDA AV.
257;Comuna 4;CALLE;BARCO CENTENERA DEL y TILCARA
258;;AVENIDA;TAGLE y FIGUEROA ALCORTA, PRES. AV.
259;;AVENIDA;DEL LIBERTADOR AV. y LACROZE, FEDERICO
260;;AV. GRAL. PAZ;PAZ, GRAL. AV. 4918
261;Comuna 7;AVENIDA;RIESTRA AV. y BOLIVAR (NO OFICIAL)
262;;AVENIDA;MOSCONI GENERAL AV. y DE LOS CONSTITUYENTES AV.
263;Comuna 8;AVENIDA;27 DE FEBRERO AV. 5600
264;Comuna 10;CALLE;CASTRO, EMILIO 4706
